Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,79,2,7,242,0,333,41,0,234
avg. policy size,118,32,19,23,19,19,102,19,19
no. of solved problems,12,50,50,43,50,44,16,50,14
no. of unsolvable problems,38,0,0,7,0,6,35,0,36
no. of proved unsolvable problems,0,0,0,0,0,0,0,0,0
avg. planning call,4074,6,1,3,1,0,2843,1,0
avg. unsolvable states,544,0,0,0,0,0,390,0,7
