Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,35,6,236,8,208,0,190,28,17
avg. policy size,254,49,254,49,453,0,453,254,1489
no. of solved problems,8,5,8,5,9,0,9,8,11
no. of unsolvable problems,3,6,3,6,2,11,2,3,0
no. of proved unsolvable problems,0,0,0,0,0,0,0,0,0
avg. planning call,128,25,128,25,227,0,227,128,0
avg. unsolvable states,0,0,0,0,0,0,0,0,0
