Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,377,9,49,20,305,934,263,66,48
avg. policy size,688,30,26,49,25,23,672,30,23
no. of solved problems,11,7,11,2,4,9,11,11,1
no. of unsolvable problems,0,3,0,9,7,2,0,0,10
no. of proved unsolvable problems,0,1,0,0,0,0,0,0,0
avg. planning call,13885,9,2,12,2,0,16158,14,0
avg. unsolvable states,2236,0,0,0,0,0,2836,1,25
