Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,186,0,0,0,0,138,41,0,79
avg. policy size,393,8,7,7,7,8,249,7,7
no. of solved problems,10,60,60,60,56,60,9,60,31
no. of unsolvable problems,50,0,0,0,4,0,51,0,29
no. of proved unsolvable problems,0,0,0,0,0,0,0,0,0
avg. planning call,16368,2,1,1,1,0,8305,1,0
avg. unsolvable states,212,0,0,0,0,0,58,0,1
