Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,16,0,76,83,5,0,6,6,0
avg. policy size,491,0,308,958,427,0,464,427,15
no. of solved problems,55,0,49,50,55,0,55,55,55
no. of unsolvable problems,0,55,6,4,0,55,0,0,0
no. of proved unsolvable problems,0,0,0,1,0,0,0,0,0
avg. planning call,224,0,182,625,186,0,205,186,0
avg. unsolvable states,0,0,0,0,0,0,0,0,0
