Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,96,47,0,0,226,0,64,137,1
avg. policy size,6,4,0,48,8,0,7,8,5
no. of solved problems,6,3,0,6,6,0,6,6,7
no. of unsolvable problems,44,17,90,84,51,90,45,53,23
no. of proved unsolvable problems,40,70,0,0,33,0,39,31,60
avg. planning call,1241,915,0,7,8021,0,889,7615,0
avg. unsolvable states,44,3,0,0,31,0,35,30,0
