Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,13,13,80,9,3,0,14,7,0
avg. policy size,159,162,31,47,126,0,182,126,24
no. of solved problems,30,15,20,10,30,0,30,30,30
no. of unsolvable problems,0,15,10,20,0,30,0,0,0
no. of proved unsolvable problems,0,0,0,0,0,0,0,0,0
avg. planning call,28,54,6,9,19,0,89,19,0
avg. unsolvable states,0,0,0,0,0,0,0,0,0
