Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,0,2,3,0,0,2,0,0,0
avg. policy size,9,7,6,7,6,6,13,6,8
no. of solved problems,12,12,12,12,12,12,12,12,12
no. of unsolvable problems,0,3,0,3,0,3,0,0,0
no. of proved unsolvable problems,3,0,3,0,3,0,3,3,3
avg. planning call,25,3,37,2,35,0,31,35,0
avg. unsolvable states,5,0,2,0,2,0,6,2,18
