Metric,NDP2,SP_{LPG-TD},SP_{FD},SP_{M},SP_{PROBE},SP_{FF},SAT,NDP2_{FF},SP,PRP
avg. time,0,0,0,42,0,0,20,0,0,0
avg. policy size,86,0,42,25,66,56,13,82,56,47
no. of solved problems,15,0,15,8,15,15,5,15,15,15
no. of unsolvable problems,0,15,0,7,0,0,10,0,0,0
no. of proved unsolvable problems,0,0,0,0,0,0,0,0,0,0
avg. planning call,5,0,4,3,5,6,0,5,6,0
avg. unsolvable states,0,0,0,0,0,0,0,0,0,0
